sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid46397	Fatsia japonica										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid4052	Hedera helix										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid85360	Hedera rhombea										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid341692	Canna x generalis										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid191065	Clethra barbinervis										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid99570	Elaeagnus multiflora										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid29747	Mallotus japonicus										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid41386	Caryopteris incana										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid662901	Elsholtzia ciliata										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
	NCBI:txid202808	Vespa velutina			http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid38860	Mentha suaveolens										Tsushima Island (Japan) & Busan City (South Korea)					2014-04/2015-10		https://www.researchgate.net/profile/Takatoshi-Ueno/publication/299535722_Flower-Visiting_by_the_Invasive_Hornet_Vespa_velutina_nigrithorax_Hymenoptera_Vespidae/links/56fe14e308aea6b77466f947/Flower-Visiting-by-the-Invasive-Hornet-Vespa-velutina-nigrithorax-Hymenoptera-Vespidae.pdf	Ueno T. 2015. Flower-Visiting by the Invasive Hornet Vespa Velutina Nigrithorax (Hymenoptera: Vespidae). International Journal of Chemical, Environmental & Biological Sciences 3:444–448
